order_id,customer_id,product_id,order_date,amount_inr
ORD-00001,CUST-0358,PROD-0543,2026-04-25T22:40:15.033110,881
ORD-00002,CUST-0652,PROD-0978,2026-05-30T07:51:56.033250,4473
ORD-00003,CUST-0173,PROD-0727,2026-04-30T14:59:54.033317,482
ORD-00004,CUST-0584,PROD-0919,2026-05-04T17:33:22.033337,1773
ORD-00005,CUST-0328,PROD-0066,2026-06-04T05:23:28.033385,2770
ORD-00006,CUST-0962,PROD-0954,2026-04-30T23:01:12.033406,582
ORD-00007,CUST-0832,PROD-0271,2026-04-13T00:23:29.033447,1478
ORD-00008,CUST-0054,PROD-0097,2026-04-19T06:35:44.033465,2106
ORD-00009,CUST-0460,PROD-0081,2026-05-01T14:01:35.033483,4690
ORD-00010,CUST-0761,PROD-0408,2026-04-21T00:25:43.033500,3588
ORD-00011,CUST-0442,PROD-0952,2026-04-23T15:37:47.033538,4672
ORD-00012,CUST-0209,PROD-0742,2026-05-18T23:36:36.033556,945
ORD-00013,CUST-0344,PROD-0407,2026-05-22T17:06:49.033586,1305
ORD-00014,CUST-0003,PROD-0446,2026-04-22T15:38:52.033603,4388
ORD-00015,CUST-0138,PROD-0207,2026-05-02T19:55:11.033622,2382
ORD-00016,CUST-0189,PROD-0248,2026-05-21T17:17:54.033644,2505
ORD-00017,CUST-0184,PROD-0514,2026-04-15T16:28:14.033684,3374
ORD-00018,CUST-0749,PROD-0075,2026-03-24T05:03:24.033723,3776
ORD-00019,CUST-0594,PROD-0835,2026-05-18T02:39:14.033740,1066
ORD-00020,CUST-0581,PROD-0626,2026-06-08T02:59:23.033768,369
ORD-00021,CUST-0788,PROD-0149,2026-04-09T21:27:34.033797,3217
ORD-00022,CUST-0235,PROD-0419,2026-05-11T07:44:05.033815,2862
ORD-00023,CUST-0393,PROD-0731,2026-05-29T19:03:29.033849,3485
ORD-00024,CUST-0864,PROD-0997,2026-04-29T15:42:14.033867,773
ORD-00025,CUST-0013,PROD-0809,2026-05-06T16:31:03.033894,1018
ORD-00026,CUST-0799,PROD-0399,2026-04-12T03:05:58.033913,1094
ORD-00027,CUST-0935,PROD-0920,2026-05-19T02:21:09.033931,4289
ORD-00028,CUST-0642,PROD-0963,2026-03-31T03:08:10.033949,3431
ORD-00029,CUST-0507,PROD-0264,2026-04-27T12:59:24.033981,855
ORD-00030,CUST-0549,PROD-0128,2026-03-22T01:26:10.034010,2995
ORD-00031,CUST-0869,PROD-0776,2026-03-28T03:19:00.034028,1777
ORD-00032,CUST-0573,PROD-0825,2026-04-17T16:09:40.034045,3766
ORD-00033,CUST-0385,PROD-0959,2026-04-19T16:31:23.034062,4733
ORD-00034,CUST-0168,PROD-0696,2026-05-18T17:54:04.034080,398
ORD-00035,CUST-0815,PROD-0610,2026-04-04T17:08:58.034097,4455
ORD-00036,CUST-0840,PROD-0459,2026-04-29T16:13:50.034113,1764
ORD-00037,CUST-0594,PROD-0812,2026-03-26T14:23:24.034129,4518
ORD-00038,CUST-0776,PROD-0300,2026-05-23T21:48:31.034159,3485
ORD-00039,CUST-0397,PROD-0789,2026-05-13T16:03:33.034174,2823
ORD-00040,CUST-0312,PROD-0347,2026-04-15T06:09:54.034207,1963
ORD-00041,CUST-0607,PROD-0615,2026-05-14T12:12:53.034225,6986
ORD-00042,CUST-0485,PROD-0727,2026-03-23T00:09:28.034260,482
