twin_id,product_id,return_id,current_state,wear_and_tear_score
TWIN-PROD-0978-RTN-0001,PROD-0978,RTN-0001,INSPECTED,4
TWIN-PROD-0919-RTN-0002,PROD-0919,RTN-0002,INSPECTED,2
TWIN-PROD-0954-RTN-0003,PROD-0954,RTN-0003,INSPECTED,0
TWIN-PROD-0408-RTN-0004,PROD-0408,RTN-0004,INSPECTED,0
TWIN-PROD-0742-RTN-0005,PROD-0742,RTN-0005,INSPECTED,0
TWIN-PROD-0514-RTN-0006,PROD-0514,RTN-0006,INSPECTED,5
TWIN-PROD-0835-RTN-0007,PROD-0835,RTN-0007,INSPECTED,0
TWIN-PROD-0626-RTN-0008,PROD-0626,RTN-0008,INSPECTED,0
TWIN-PROD-0419-RTN-0009,PROD-0419,RTN-0009,INSPECTED,0
TWIN-PROD-0997-RTN-0010,PROD-0997,RTN-0010,INSPECTED,0
TWIN-PROD-0963-RTN-0011,PROD-0963,RTN-0011,INSPECTED,0
TWIN-PROD-0264-RTN-0012,PROD-0264,RTN-0012,INSPECTED,0
TWIN-PROD-0812-RTN-0013,PROD-0812,RTN-0013,INSPECTED,0
TWIN-PROD-0789-RTN-0014,PROD-0789,RTN-0014,INSPECTED,0
TWIN-PROD-0615-RTN-0015,PROD-0615,RTN-0015,INSPECTED,0
TWIN-PROD-0727-RTN-0016,PROD-0727,RTN-0016,INSPECTED,0
TWIN-PROD-0265-RTN-0017,PROD-0265,RTN-0017,INSPECTED,0
TWIN-PROD-0057-RTN-0018,PROD-0057,RTN-0018,INSPECTED,8
TWIN-PROD-0621-RTN-0019,PROD-0621,RTN-0019,INSPECTED,0
TWIN-PROD-0447-RTN-0020,PROD-0447,RTN-0020,INSPECTED,1
TWIN-PROD-0587-RTN-0021,PROD-0587,RTN-0021,INSPECTED,0
TWIN-PROD-0081-RTN-0022,PROD-0081,RTN-0022,INSPECTED,0
TWIN-PROD-0763-RTN-0023,PROD-0763,RTN-0023,INSPECTED,0
TWIN-PROD-0856-RTN-0024,PROD-0856,RTN-0024,INSPECTED,7
TWIN-PROD-0515-RTN-0025,PROD-0515,RTN-0025,INSPECTED,0
TWIN-PROD-0767-RTN-0026,PROD-0767,RTN-0026,INSPECTED,5
TWIN-PROD-0421-RTN-0027,PROD-0421,RTN-0027,INSPECTED,0
TWIN-PROD-0803-RTN-0028,PROD-0803,RTN-0028,INSPECTED,0
TWIN-PROD-0500-RTN-0029,PROD-0500,RTN-0029,INSPECTED,0
TWIN-PROD-0680-RTN-0030,PROD-0680,RTN-0030,INSPECTED,0
TWIN-PROD-0057-RTN-0031,PROD-0057,RTN-0031,INSPECTED,4
TWIN-PROD-0227-RTN-0032,PROD-0227,RTN-0032,INSPECTED,10
TWIN-PROD-0736-RTN-0033,PROD-0736,RTN-0033,INSPECTED,0
TWIN-PROD-0145-RTN-0034,PROD-0145,RTN-0034,INSPECTED,0
TWIN-PROD-0813-RTN-0035,PROD-0813,RTN-0035,INSPECTED,0
TWIN-PROD-0608-RTN-0036,PROD-0608,RTN-0036,INSPECTED,0
TWIN-PROD-0852-RTN-0037,PROD-0852,RTN-0037,INSPECTED,8
TWIN-PROD-0862-RTN-0038,PROD-0862,RTN-0038,INSPECTED,0
TWIN-PROD-0371-RTN-0039,PROD-0371,RTN-0039,INSPECTED,0
TWIN-PROD-0670-RTN-0040,PROD-0670,RTN-0040,INSPECTED,3
TWIN-PROD-0342-RTN-0041,PROD-0342,RTN-0041,INSPECTED,0
TWIN-PROD-0794-RTN-0042,PROD-0794,RTN-0042,INSPECTED,0
TWIN-PROD-0614-RTN-0043,PROD-0614,RTN-0043,INSPECTED,0
TWIN-PROD-0160-RTN-0044,PROD-0160,RTN-0044,INSPECTED,0
TWIN-PROD-0114-RTN-0045,PROD-0114,RTN-0045,INSPECTED,8
TWIN-PROD-0997-RTN-0046,PROD-0997,RTN-0046,INSPECTED,0
TWIN-PROD-0804-RTN-0047,PROD-0804,RTN-0047,INSPECTED,3
TWIN-PROD-0965-RTN-0048,PROD-0965,RTN-0048,INSPECTED,0
TWIN-PROD-0360-RTN-0049,PROD-0360,RTN-0049,INSPECTED,3
TWIN-PROD-0711-RTN-0050,PROD-0711,RTN-0050,INSPECTED,0
TWIN-PROD-0051-RTN-0051,PROD-0051,RTN-0051,INSPECTED,8
TWIN-PROD-0576-RTN-0052,PROD-0576,RTN-0052,INSPECTED,0
TWIN-PROD-0079-RTN-0053,PROD-0079,RTN-0053,INSPECTED,0
TWIN-PROD-0964-RTN-0054,PROD-0964,RTN-0054,INSPECTED,4
TWIN-PROD-0003-RTN-0055,PROD-0003,RTN-0055,INSPECTED,0
TWIN-PROD-0207-RTN-0056,PROD-0207,RTN-0056,INSPECTED,0
TWIN-PROD-0955-RTN-0057,PROD-0955,RTN-0057,INSPECTED,0
TWIN-PROD-0249-RTN-0058,PROD-0249,RTN-0058,INSPECTED,0
TWIN-PROD-0670-RTN-0059,PROD-0670,RTN-0059,INSPECTED,0
TWIN-PROD-0771-RTN-0060,PROD-0771,RTN-0060,INSPECTED,0
TWIN-PROD-0879-RTN-0061,PROD-0879,RTN-0061,INSPECTED,3
TWIN-PROD-0355-RTN-0062,PROD-0355,RTN-0062,INSPECTED,0
TWIN-PROD-0817-RTN-0063,PROD-0817,RTN-0063,INSPECTED,0
TWIN-PROD-0966-RTN-0064,PROD-0966,RTN-0064,INSPECTED,2
TWIN-PROD-0837-RTN-0065,PROD-0837,RTN-0065,INSPECTED,3
TWIN-PROD-0103-RTN-0066,PROD-0103,RTN-0066,INSPECTED,0
TWIN-PROD-0558-RTN-0067,PROD-0558,RTN-0067,INSPECTED,0
TWIN-PROD-0351-RTN-0068,PROD-0351,RTN-0068,INSPECTED,0
TWIN-PROD-0617-RTN-0069,PROD-0617,RTN-0069,INSPECTED,9
TWIN-PROD-0107-RTN-0070,PROD-0107,RTN-0070,INSPECTED,0
TWIN-PROD-0705-RTN-0071,PROD-0705,RTN-0071,INSPECTED,0
TWIN-PROD-0969-RTN-0072,PROD-0969,RTN-0072,INSPECTED,1
TWIN-PROD-0065-RTN-0073,PROD-0065,RTN-0073,INSPECTED,0
TWIN-PROD-0604-RTN-0074,PROD-0604,RTN-0074,INSPECTED,0
TWIN-PROD-0529-RTN-0075,PROD-0529,RTN-0075,INSPECTED,3
TWIN-PROD-0595-RTN-0076,PROD-0595,RTN-0076,INSPECTED,0
TWIN-PROD-0386-RTN-0077,PROD-0386,RTN-0077,INSPECTED,0
TWIN-PROD-0320-RTN-0078,PROD-0320,RTN-0078,INSPECTED,0
TWIN-PROD-0825-RTN-0079,PROD-0825,RTN-0079,INSPECTED,5
TWIN-PROD-0155-RTN-0080,PROD-0155,RTN-0080,INSPECTED,0
TWIN-PROD-0670-RTN-0081,PROD-0670,RTN-0081,INSPECTED,5
TWIN-PROD-0583-RTN-0082,PROD-0583,RTN-0082,INSPECTED,0
TWIN-PROD-0702-RTN-0083,PROD-0702,RTN-0083,INSPECTED,7
TWIN-PROD-0062-RTN-0084,PROD-0062,RTN-0084,INSPECTED,0
TWIN-PROD-0246-RTN-0085,PROD-0246,RTN-0085,INSPECTED,0
TWIN-PROD-0589-RTN-0086,PROD-0589,RTN-0086,INSPECTED,0
TWIN-PROD-0799-RTN-0087,PROD-0799,RTN-0087,INSPECTED,0
TWIN-PROD-0091-RTN-0088,PROD-0091,RTN-0088,INSPECTED,0
TWIN-PROD-0813-RTN-0089,PROD-0813,RTN-0089,INSPECTED,0
TWIN-PROD-0438-RTN-0090,PROD-0438,RTN-0090,INSPECTED,0
TWIN-PROD-0648-RTN-0091,PROD-0648,RTN-0091,INSPECTED,0
TWIN-PROD-0627-RTN-0092,PROD-0627,RTN-0092,INSPECTED,5
TWIN-PROD-0402-RTN-0093,PROD-0402,RTN-0093,INSPECTED,0
TWIN-PROD-0155-RTN-0094,PROD-0155,RTN-0094,INSPECTED,0
TWIN-PROD-0493-RTN-0095,PROD-0493,RTN-0095,INSPECTED,5
TWIN-PROD-0097-RTN-0096,PROD-0097,RTN-0096,INSPECTED,8
TWIN-PROD-0286-RTN-0097,PROD-0286,RTN-0097,INSPECTED,1
TWIN-PROD-0507-RTN-0098,PROD-0507,RTN-0098,INSPECTED,0
TWIN-PROD-0747-RTN-0099,PROD-0747,RTN-0099,INSPECTED,0
TWIN-PROD-0559-RTN-0100,PROD-0559,RTN-0100,INSPECTED,0
TWIN-PROD-0622-RTN-0101,PROD-0622,RTN-0101,INSPECTED,0
TWIN-PROD-0894-RTN-0102,PROD-0894,RTN-0102,INSPECTED,0
TWIN-PROD-0846-RTN-0103,PROD-0846,RTN-0103,INSPECTED,6
TWIN-PROD-0679-RTN-0104,PROD-0679,RTN-0104,INSPECTED,0
TWIN-PROD-0564-RTN-0105,PROD-0564,RTN-0105,INSPECTED,0
TWIN-PROD-0657-RTN-0106,PROD-0657,RTN-0106,INSPECTED,1
TWIN-PROD-0278-RTN-0107,PROD-0278,RTN-0107,INSPECTED,0
TWIN-PROD-0283-RTN-0108,PROD-0283,RTN-0108,INSPECTED,4
TWIN-PROD-0917-RTN-0109,PROD-0917,RTN-0109,INSPECTED,0
TWIN-PROD-0678-RTN-0110,PROD-0678,RTN-0110,INSPECTED,0
